Symbol,Company Name,Industry,Market Cap
AEAE,AltEnergy Acquisition,Shell Companies,298137500
AEE,Ameren,Utilities - Regulated Electric,23614876470
AEG,Aegon,Insurance - Diversified,8951086129
AEHL,Antelope Enterprise Holdings,Building Products & Equipment,15182944
AEHR,Aehr Test Systems,Semiconductor Equipment & Materials,784758238
AEI,Alset EHome International,Real Estate - Development,12535664
AEIS,Advanced Energy Industries,Electrical Equipment & Parts,3448240407
AEL,American Equity Investment Life Holding Company,Insurance - Life,3105506052
AEM,Agnico Eagle Mines,Gold,26435817258
AEMD,Aethlon Medical,Medical Devices,8797242
AENZ,Aenza,Engineering & Construction,208923233
AEO,American Eagle Outfitters,Apparel Retail,2622405960
AEP,American Electric Power Company,Utilities - Regulated Electric,48488004574
AER,AerCap Holdings,Rental & Leasing Services,13223208000
AES,The AES Corporation,Utilities - Diversified,16933174003
AESI,Atlas Energy Solutions,Oil & Gas Equipment & Services,1781000000
AEVA,Aeva Technologies,Auto Parts,202209450
AEY,ADDvantage Technologies Group,Electronics & Computer Distribution,15969160
AEYE,AudioEye,Software - Application,80170576
AEZS,Aeterna Zentaris,Biotechnology,13013758
AFAR,Aura FAT Projects Acquisition,Shell Companies,148502282
AFBI,Affinity Bancshares,Banks - Regional,97535314
AFCG,AFC Gamma,REIT - Specialty,232757312
AFG,American Financial Group,Insurance - Property & Casualty,10417142700
AFIB,Acutus Medical,Medical Devices,19070106
AFL,Aflac,Insurance - Life,40360495951
AFMD,Affimed,Biotechnology,100385681
AFRI,Forafric Global,Farm Products,302073146
AFRM,Affirm Holdings,Software - Infrastructure,3216305234
AFTR,AfterNext HealthTech Acquisition,Shell Companies,320000000
AFYA,Afya Limited,Education & Training Services,1160180773
AG,First Majestic Silver,Silver,2099772000
AGAC,African Gold Acquisition,Shell Companies,532507479
AGAE,Allied Gaming & Entertainment,Entertainment,44784166
AGBA,AGBA Acquisition,Shell Companies,90390224
AGCO,AGCO Corporation,Farm & Heavy Construction Machinery,9339308836
AGE,AgeX Therapeutics,Biotechnology,25804096
AGEN,Agenus,Biotechnology,435592020
AGFY,Agrify,Engineering & Construction,5366786
AGI,Alamos Gold,Gold,5309767992
AGIL,AgileThought,Software - Application,129584952
AGIO,Agios Pharmaceuticals,Biotechnology,1181997576
AGL,agilon health,Medical Care Facilities,11455790092
AGLE,Aeglea BioTherapeutics,Biotechnology,12425088
AGM,Federal Agricultural Mortgage,Credit Services,1382222367
AGM.A,Federal Agricultural Mortgage,Credit Services,1429476628
AGMH,AGM Group Holdings,Software - Application,49722340
AGNC,AGNC Investment,REIT - Mortgage,5756530940
AGO,Assured Guaranty,Insurance - Specialty,3221142393
AGR,Avangrid,Utilities - Regulated Electric,15624000847
AGRI,AgriFORCE Growing Systems,Farm Products,13254026
AGRO,Adecoagro,Farm Products,978474060
AGRX,Agile Therapeutics,Drug Manufacturers - Specialty & Generic,404416958
AGS,PlayAGS,Gambling,251338745
AGTI,Agiliti,Health Information Services,2192982000
AGX,Argan,Engineering & Construction,529611463
AGYS,Agilysys,Software - Application,2064836426
AHCO,AdaptHealth,Medical Devices,1636248177
AHG,Akso Health Group,Credit Services,6909598
AHH,Armada Hoffler Properties,REIT - Diversified,1047534536
AHI,Advanced Human Imaging,Software - Application,11181067
AHRN,Ahren Acquisition,Shell Companies,391497881
AHT,Ashford Hospitality Trust,REIT - Hotel & Motel,106386507
AI,C3.ai,Information Technology Services,2473108356
AIB,AIB Acquisition,Shell Companies,38135850
AIG,American International Group,Insurance - Diversified,37651840118
AIH,Aesthetic Medical International Holdings Group,Medical Care Facilities,53103428
AIHS,Senmiao Technology,Credit Services,6769106
AIM,AIM ImmunoTech,Biotechnology,21187875
AIMAU,Aimfinity Investment I,Shell Companies,107973590
AIMD,Ainos,Biotechnology,18210556
AIN,Albany International,Textile Manufacturing,2804139975
AINC,Ashford,Asset Management,40257184
AIP,Arteris,Semiconductors,141605475
AIR,AAR Corp.,Aerospace & Defense,1888744056
AIRC,Apartment Income REIT,REIT - Residential,5284210604
AIRG,Airgain,Communication Equipment,60049080
AIRI,Air Industries Group,Aerospace & Defense,11530187
AIRS,AirSculpt Technologies,Medical Care Facilities,288130927
AIRT,Air T,Integrated Freight & Logistics,64902934
AIT,Applied Industrial Technologies,Industrial Distribution,5199765587
AIU,Meta Data,Education & Training Services,40605101
AIV,Apartment Investment and Management Company,REIT - Residential,1148425439
AIXI,Xiao-I,Software - Application,413823559
AIZ,Assurant,Insurance - Specialty,6200741853
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,42444651836
AJRD,Aerojet Rocketdyne Holdings,Aerospace & Defense,4549387308
AJX,Great Ajax,REIT - Mortgage,157755466
AKA,a.k.a. Brands Holding,Internet Retail,51636106
AKAM,Akamai Technologies,Software - Infrastructure,12688758720
AKAN,Akanda,Drug Manufacturers - Specialty & Generic,2944235
AKBA,Akebia Therapeutics,Biotechnology,114712805
AKLI,Akili,Health Information Services,112465590
AKO.A,Embotelladora Andina,Beverages - Non-Alcoholic,2154909594
AKO.B,Embotelladora Andina,Beverages - Non-Alcoholic,2416913840
AKR,Acadia Realty Trust,REIT - Retail,1377362070
AKRO,Akero Therapeutics,Biotechnology,1735578450
AKTS,Akoustis Technologies,Communication Equipment,223249728
AKTX,"Akari Therapeutics,",Biotechnology,12656364
AKU,Akumin,Diagnostics & Research,52090672
AKYA,Akoya Biosciences,Medical Instruments & Supplies,259958082
AL,Air Lease,Rental & Leasing Services,4406185350
ALAR,Alarum Technologies,Software - Infrastructure,8928854
ALB,Albemarle,Specialty Chemicals,23659208300
ALBT,Avalon GloboCare,Real Estate Services,21196693
ALC,Alcon,Medical Instruments & Supplies,34686654000
ALCC,AltC Acquisition,Shell Companies,648452990
ALCO,Alico,Farm Products,192039112
ALDX,Aldeyra Therapeutics,Biotechnology,583844197
ALE,ALLETE,Utilities - Diversified,3709883436
ALEC,Alector,Biotechnology,523075795
ALEX,Alexander & Baldwin,REIT - Diversified,1387267518
ALG,Alamo Group,Farm & Heavy Construction Machinery,2109262320
ALGM,Allegro MicroSystems,Semiconductors,8583388560
ALGN,Align Technology,Medical Devices,25496532750
ALGS,Aligos Therapeutics,Biotechnology,39122873
ALGT,Allegiant Travel Company,Airlines,1706339272
ALHC,Alignment Healthcare,Healthcare Plans,1286627340
ALIM,Alimera Sciences,Drug Manufacturers - Specialty & Generic,14381909
ALIT,Alight,Software - Application,5018506822
ALK,Alaska Air Group,Airlines,5350980700
ALKS,Alkermes,Biotechnology,4762349098
ALKT,Alkami Technology,Software - Application,1142048899
ALL,The Allstate Corporation,Insurance - Property & Casualty,30567346400
ALLE,Allegion,Security & Protection Services,8922934470
ALLG,Allego,Auto Parts,566245607
ALLK,Allakos,Biotechnology,308455546
ALLO,Allogene Therapeutics,Biotechnology,663241193
ALLR,Allarity Therapeutics,Biotechnology,1146420
ALLT,Allot,Software - Infrastructure,103294104
ALLY,Ally Financial,Credit Services,7932386281
ALNY,Alnylam Pharmaceuticals,Biotechnology,25203807360
ALOR,ALSP Orchid Acquisition Corporation I,Shell Companies,74549915
ALOT,AstroNova,Computer Hardware,107376341
ALPA,Alpha Healthcare Acquisition Corp. III,Shell Companies,200655340
ALPN,Alpine Immune Sciences,Biotechnology,346237525
ALPP,Alpine 4 Holdings,Metal Fabrication,95381081
ALPS,Alpine Summit Energy Partners,Oil & Gas E&P,41475113
ALRM,Alarm.com Holdings,Software - Application,2405118260
ALRN,Aileron Therapeutics,Biotechnology,6351280
ALRS,Alerus Financial,Banks - Regional,320850543
ALSA,Alpha Star Acquisition,Shell Companies,153940750
ALSN,Allison Transmission Holdings,Auto Parts,4200169873
ALT,Altimmune,Biotechnology,202536279
ALTG,Alta Equipment Group,Rental & Leasing Services,454124443
ALTI,Alvarium Tiedemann Holdings,Asset Management,1329998208
ALTO,Alto Ingredients,Specialty Chemicals,97687845
ALTR,Altair Engineering,Software - Infrastructure,5686450950
ALTU,Altitude Acquisition,Shell Companies,91583419
ALV,Autoliv,Auto Parts,7631976568
ALVO,Alvotech,Drug Manufacturers - Specialty & Generic,3649682861
ALVR,AlloVir,Biotechnology,331966180
ALX,Alexander's,REIT - Retail,986881647
ALXO,ALX Oncology Holdings,Biotechnology,189604320
ALYA,Alithya Group,Information Technology Services,198213750
ALZN,Alzamend Neuro,Biotechnology,54970855
AM,Antero Midstream,Oil & Gas Midstream,5035008676
AMAL,Amalgamated Financial,Banks - Regional,532349252
AMAM,Ambrx Biopharma,Biotechnology,463231197
AMAO,American Acquisition Opportunity,Shell Companies,35173723
AMAT,Applied Materials,Semiconductor Equipment & Materials,95633554691
AMBA,Ambarella,Semiconductor Equipment & Materials,2668024996
AMBC,Ambac Financial Group,Insurance - Specialty,690628275
AMBI,Ambipar Emergency Response,Waste Management,453970873
AMBO,Ambow Education Holding,Education & Training Services,7343688
AMBP,Ardagh Metal Packaging,Packaging & Containers,2193100162
AMC,AMC Entertainment Holdings,Entertainment,4174529199
AMCR,Amcor,Packaging & Containers,16373295247
AMCX,AMC Networks,Entertainment,764268153
AMD,Advanced Micro Devices,Semiconductors,148779634268
AME,AMETEK,Specialty Industrial Machinery,31900825822
AMED,Amedisys,Medical Care Facilities,2598188892
AMEH,Apollo Medical Holdings,Medical Care Facilities,1832176320
AMG,Affiliated Managers Group,Asset Management,4988456778
AMGN,Amgen,Drug Manufacturers - General,133227012000
AMH,American Homes 4 Rent,REIT - Residential,13377861112
AMK,AssetMark Financial Holdings,Asset Management,2283503820
AMKR,Amkor Technology,Semiconductors,5886816000
AMLI,American Lithium,Other Industrial Metals & Mining,431303584
AMLX,Amylyx Pharmaceuticals,Biotechnology,1965465144
AMN,AMN Healthcare Services,Medical Care Facilities,3548547624
AMNB,American National Bankshares,Banks - Regional,319059000
AMOT,Allied Motion Technologies,Electronic Components,592592220
AMP,Ameriprise Financial,Asset Management,32105883840
AMPE,Ampio Pharmaceuticals,Biotechnology,3201815
AMPG,AmpliTech Group,Communication Equipment,27451514
AMPH,Amphastar Pharmaceuticals,Drug Manufacturers - Specialty & Generic,1885697016
AMPL,Amplitude,Software - Application,1266776345
AMPS,Altus Power,Utilities - Renewable,771091800
AMPX,Amprius Technologies,Electrical Equipment & Parts,743500660
AMPY,Amplify Energy,Oil & Gas E&P,289943143
AMR,Alpha Metallurgical Resources,Coking Coal,2457317590
AMRC,Ameresco,Engineering & Construction,2363652064
AMRK,A-Mark Precious Metals,Capital Markets,841903400
AMRN,Amarin Corporation,Biotechnology,552317760
AMRS,Amyris,Specialty Chemicals,391889640
AMRX,Amneal Pharmaceuticals,Drug Manufacturers - Specialty & Generic,406225873
AMS,American Shared Hospital Services,Medical Care Facilities,17686240
AMSC,American Superconductor,Specialty Industrial Machinery,120187507
AMSF,AMERISAFE,Insurance - Specialty,985379496
AMST,Amesite,Software - Application,8942761
AMSWA,American Software,Software - Application,423255869
AMT,American Tower,REIT - Specialty,98372377340
AMTB,Amerant Bancorp,Banks - Regional,660737007
AMTD,AMTD IDEA Group,Asset Management,3830101647
AMTI,Applied Molecular Transport,Biotechnology,11877903
AMTX,Aemetis,Oil & Gas Refining & Marketing,80634620
AMV,Atlis Motor Vehicles,Auto Parts,19880055
AMWD,American Woodmark,"Furnishings, Fixtures & Appliances",836755590
AMWL,American Well,Health Information Services,605152688
AMX,"América Móvil,",Telecom Services,67742373686
AMZN,Amazon.com,Internet Retail,1002493368392
AN,AutoNation,Auto & Truck Dealerships,6181314560
ANAB,AnaptysBio,Biotechnology,590182030
ANDE,The Andersons,Food Distribution,1389161637
ANEB,Anebulo Pharmaceuticals,Biotechnology,74654132
ANET,Arista Networks,Computer Hardware,49455218241
ANF,Abercrombie & Fitch Co.,Apparel Retail,1259998720
ANGH,Anghami,Entertainment,41869177
ANGI,Angi Inc.,Internet Content & Information,1054996535
ANGN,Angion Biomedica,Biotechnology,15960526
ANGO,AngioDynamics,Medical Instruments & Supplies,360816402
ANIK,Anika Therapeutics,Medical Devices,397822131
ANIP,ANI Pharmaceuticals,Drug Manufacturers - Specialty & Generic,664391736
ANIX,Anixa Biosciences,Biotechnology,168076832
ANNX,Annexon,Biotechnology,242872773
ANPC,AnPac Bio-Medical Science Co.,Biotechnology,21406754
ANSS,ANSYS,Software - Application,27474719709
ANTE,AirNet Technology,Telecom Services,15348730
ANTX,AN2 Therapeutics,Biotechnology,174624300
ANVS,Annovis Bio,Biotechnology,116662417
ANY,Sphere 3D,Software - Application,26244795
ANZU,Anzu Special Acquisition Corp I,Shell Companies,149676746
AOGO,Arogo Capital Acquisition,Shell Companies,140539718
AOMR,Angel Oak Mortgage,REIT - Mortgage,194667374
AON,Aon plc,Insurance Brokers,66006489920
AORT,Artivion,Medical Devices,551409146
AOS,A. O. Smith,Specialty Industrial Machinery,9963408762
AOSL,Alpha and Omega Semiconductor,Semiconductors,695761170
AOUT,American Outdoor Brands,Leisure,123030257
AP,Ampco-Pittsburgh,Metal Fabrication,54426818
APA,APA Corporation,Oil & Gas E&P,12326176603
APAC,StoneBridge Acquisition,Shell Companies,211100000
APAM,Artisan Partners Asset Management,Asset Management,2282376545
APCA,AP Acquisition,Shell Companies,227484375
APCX,AppTech Payments,Software - Infrastructure,36693411
APD,Air Products and Chemicals,Specialty Chemicals,63775577407
APDN,Applied DNA Sciences,Diagnostics & Research,13812095
APEI,American Public Education,Education & Training Services,117276544
APG,APi Group,Engineering & Construction,4955766641
APGB,Apollo Strategic Growth Capital II,Shell Companies,884062521
APGN,Apexigen,Biotechnology,15284550
APH,Amphenol,Electronic Components,46444595925
API,Agora,Software - Application,399754933
APLD,Applied Blockchain,Capital Markets,298939738
APLE,Apple Hospitality REIT,REIT - Hotel & Motel,3521425600
APLM,Apollomics,Shell Companies,136206000
APLS,Apellis Pharmaceuticals,Biotechnology,8869892700
APLT,Applied Therapeutics,Biotechnology,41377696
APM,Aptorum Group,Biotechnology,8268115
APMI,AxonPrime Infrastructure Acquisition,Shell Companies,189749990
APO,Apollo Global Management,Asset Management,35711404163
APOG,Apogee Enterprises,Building Products & Equipment,927430325
APP,AppLovin,Software - Application,6082672852
APPF,AppFolio,Software - Application,4481853929
APPH,AppHarvest,Farm Products,74966272
APPN,Appian,Software - Infrastructure,2938940670
APPS,Digital Turbine,Software - Application,1210204669
APRE,Aprea Therapeutics,Biotechnology,15112859
APRN,Blue Apron Holdings,Internet Retail,44000105
APT,Alpha Pro Tech,Building Products & Equipment,50895600
APTM,Alpha Partners Technology Merger,Shell Companies,370276713
APTO,Aptose Biosciences,Biotechnology,48864983
APTV,Aptiv,Auto Parts,28240387764
APTX,Aptinyx,Biotechnology,7990452
APVO,Aptevo Therapeutics,Biotechnology,13320625
APWC,Asia Pacific Wire & Cable Corporation,Electrical Equipment & Parts,29275004
APXI,APx Acquisition I,Shell Companies,114560303
APYX,Apyx Medical,Medical Devices,110366982
AQB,AquaBounty Technologies,Farm Products,42089949
AQMS,Aqua Metals,Waste Management,87309232
AQN,Algonquin Power & Utilities,Utilities - Renewable,6001130230
AQST,Aquestive Therapeutics,Drug Manufacturers - Specialty & Generic,61407024
AQU,Aquaron Acquisition,Shell Companies,73313688
AQUA,Evoqua Water Technologies,Pollution & Treatment Controls,6022547940
AR,Antero Resources,Oil & Gas E&P,7050545929
ARAV,Aravive,Biotechnology,101137712
ARAY,Accuray,Medical Devices,293168741
ARBB,ARB IOT Group,Information Technology Services,105200000
ARBE,Arbe Robotics,Software - Infrastructure,190653120
ARBG,Aequi Acquisition,Shell Companies,94697855
ARBK,Argo Blockchain,Capital Markets,71673750
ARC,ARC Document Solutions,Specialty Business Services,133430220
ARCB,ArcBest,Trucking,2265240054
ARCC,Ares Capital,Asset Management,9998507013
ARCE,Arco Platform,Education & Training Services,752881783
ARCH,Arch Resources,Thermal Coal,2405004304
ARCO,Arcos Dorados Holdings,Restaurants,1571038775
ARCT,Arcturus Therapeutics Holdings,Biotechnology,697081875
ARDS,Aridis Pharmaceuticals,Biotechnology,7937050
ARDX,Ardelyx,Biotechnology,929218464
ARE,Alexandria Real Estate Equities,REIT - Office,21033533212
AREB,American Rebel Holdings,Footwear & Accessories,2949293
AREC,American Resources,Coking Coal,99607468
AREN,The Arena Group Holdings,Internet Content & Information,79988825
ARES,Ares Management,Asset Management,24229067665
ARGO,Argo Group International Holdings,Insurance - Property & Casualty,1040298792
ARGX,argenx SE,Biotechnology,21099563145
ARHS,Arhaus,Home Improvement Retail,1096693282
ARI,Apollo Commercial Real Estate Finance,REIT - Mortgage,1298234540
ARIS,Aris Water Solutions,Utilities - Regulated Water,737098412
ARIZ,Arisz Acquisition,Shell Companies,92218400
ARKO,Arko Corp.,Specialty Retail,1052671680
ARKR,Ark Restaurants,Restaurants,61819040
ARL,American Realty Investors,Real Estate - Development,345814320
ARLO,Arlo Technologies,Security & Protection Services,572556780
ARLP,"Alliance Resource Partners,",Thermal Coal,2647011190
ARMK,Aramark,Specialty Business Services,9123164980
ARMP,Armata Pharmaceuticals,Biotechnology,51686921
ARNC,Arconic,Metal Fabrication,2529372000
AROC,Archrock,Oil & Gas Equipment & Services,1611523722
AROW,Arrow Financial,Banks - Regional,390452244
ARQQ,Arqit Quantum,Software - Infrastructure,146321180
ARQT,Arcutis Biotherapeutics,Biotechnology,809959254
ARR,ARMOUR Residential REIT,REIT - Mortgage,1023993600
ARRW,Arrowroot Acquisition,Shell Companies,119590324
ARRY,Array Technologies,Solar,3249071778
ARTE,Artemis Strategic Investment,Shell Companies,261876032
ARTL,Artelo Biosciences,Biotechnology,7310566
ARTNA,Artesian Resources,Utilities - Regulated Water,552302193
ARTW,Art's-Way Manufacturing Co.,Farm & Heavy Construction Machinery,12948839
ARVL,Arrival,Auto Manufacturers,88535610
ARVN,Arvinas,Biotechnology,1396246015
ARW,Arrow Electronics,Electronics & Computer Distribution,6816174021
ARWR,Arrowhead Pharmaceuticals,Biotechnology,3093333600
ARYD,ARYA Sciences Acquisition Corp IV,Shell Companies,159742660
ARYE,ARYA Sciences Acquisition Corp V,Shell Companies,196277885
ASA,ASA Gold and Precious Metals,Asset Management,327542502
ASAI,Sendas Distribuidora,Grocery Stores,3961648287
ASAN,Asana,Software - Application,3983328929
ASB,Associated Banc-Corp,Banks - Regional,2634155280
ASC,Ardmore Shipping,Marine Shipping,597755214
ASCA,A SPAC I Acquisition,Shell Companies,56168812
ASCB,A SPAC II Acquisition,Shell Companies,262867000
ASGN,ASGN Incorporated,Information Technology Services,3885333000
ASH,Ashland,Specialty Chemicals,5553612828
ASIX,AdvanSix,Chemicals,1100918394
ASLE,AerSale,Airports & Air Services,903939455
ASLN,ASLAN Pharmaceuticals,Biotechnology,46916464
ASM,Avino Silver & Gold Mines,Other Precious Metals & Mining,115047014
ASMB,Assembly Biosciences,Biotechnology,42586069
ASML,ASML Holding,Semiconductor Equipment & Materials,258322299875
ASND,Ascendis Pharma,Biotechnology,4684488270
ASNS,Actelis Networks,Communication Equipment,5262317
ASO,Academy Sports and Outdoors,Specialty Retail,5226756432
ASPA,Abri SPAC I,Shell Companies,79992640
ASPI,ASP Isotopes,Chemicals,29590782
ASPN,Aspen Aerogels,Building Products & Equipment,423918660
ASPS,Altisource Portfolio Solutions,Real Estate Services,83883644
ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",Airports & Air Services,9120000000
ASRT,Assertio Holdings,Drug Manufacturers - Specialty & Generic,329580505
ASRV,AmeriServ Financial,Banks - Regional,56243144
ASST,Asset Entities,Internet Content & Information,11771683
ASTC,Astrotech,Aerospace & Defense,17924634
ASTE,Astec Industries,Farm & Heavy Construction Machinery,924293447
ASTI,Ascent Solar Technologies,Solar,51574816
ASTL,Algoma Steel Group,Steel,806794720
ASTR,Astra Space,Aerospace & Defense,100537275
ASTS,AST SpaceMobile,Telecom Services,874358336
ASUR,Asure Software,Software - Application,312188800
ASX,ASE Technology Holding Co.,Semiconductors,16442330563
ASXC,Asensus Surgical,Medical Devices,165103200
ASYS,Amtech Systems,Semiconductor Equipment & Materials,135326775
ATAI,Atai Life Sciences,Biotechnology,302138200
ATAK,Aurora Technology Acquisition,Shell Companies,114309537
ATAQ,Altimar Acquisition Corp. III,Shell Companies,80108930
ATAT,Atour Lifestyle Holdings,Lodging,3221052900
ATCX,Atlas Technical Consultants,Engineering & Construction,468345360
ATEC,Alphatec Holdings,Medical Devices,1716649500
ATEK,Athena Technology Acquisition Corp. II,Shell Companies,361349667
ATEN,A10 Networks,Software - Infrastructure,1093662864
ATER,Aterian,"Furnishings, Fixtures & Appliances",64695499
ATEX,Anterix,Telecom Services,619465987
ATGE,Adtalem Global Education,Education & Training Services,1781671360
ATHA,Athira Pharma,Biotechnology,92204406
ATHE,Alterity Therapeutics,Biotechnology,12213141
ATHM,Autohome,Internet Content & Information,3679723950
ATHX,Athersys,Biotechnology,15312255
ATI,ATI Inc.,Metal Fabrication,4975822110
ATIF,ATIF Holdings,Capital Markets,19637110
ATIP,ATI Physical Therapy,Medical Care Facilities,51182371
ATKR,Atkore,Electrical Equipment & Parts,5109537898
ATLC,Atlanticus Holdings,Credit Services,405458582
ATLO,Ames National,Banks - Regional,184339485
ATLX,Atlas Lithium,Other Precious Metals & Mining,133076685
ATMC,AlphaTime Acquisition,Shell Companies,15345000
ATMV,AlphaVest Acquisition,Shell Companies,1959380
ATNF,180 Life Sciences,Biotechnology,4571230
ATNI,ATN International,Telecom Services,637561607
ATNM,Actinium Pharmaceuticals,Biotechnology,225782038
